lat,long,press,pdens,13CW,NEPIW,AAIW,biogeo,chi-squared parameter
13.996,-102,475.15,26.951,0.051263,0.46435,0.48439,0.85616,0.19563
13.996,-102,399.99,26.823,0.17011,0.5469,0.28299,0.074415,0.018355
13.995,-102,341.44,26.713,0.36834,0.40843,0.22323,0,0.066796
13.995,-102,301.46,26.628,0.56761,0.22882,0.20358,0,0.0258
13.995,-102,258.5,26.545,0.7119,0.11292,0.17518,0,0.075648
13.995,-102,226.43,26.464,0.86213,0,0.13901,0,0.11778
13.994,-102,194.84,26.378,0.96301,0,0.045198,0,0.42039
13.994,-102,178.92,26.342,1.004,0,0.0072606,0,0.57156
13.994,-102,169.65,26.309,1.0247,0,0,0,0.62472
13.994,-102,159.94,26.28,1.0416,0,0,0,0.687
13.993,-102,150.87,26.223,1.0453,0,0,0,0.64432
13.993,-102,140.41,26.145,1.0696,0,0,0,0.76739
13.993,-102,130.18,26.052,1.0979,0,0,0,0.9014
13.998,-103,442.82,26.886,0,0.6901,0.31583,0.1511,0.0068845
13.999,-103,381.67,26.772,0.12716,0.68829,0.18455,0,0.065249
13.999,-103,329.56,26.662,0.44404,0.36535,0.19061,0,0.05102
13.998,-103,288.31,26.574,0.61169,0.22784,0.16047,0,0.094042
13.999,-103,268.12,26.524,0.70032,0.15758,0.1421,0,0.12709
13.998,-103,248.93,26.502,0.74174,0.12442,0.13384,0,0.14437
13.998,-103,225.04,26.46,0.84321,0.021894,0.1349,0,0.16013
13.999,-103,215.87,26.438,0.885,0,0.11676,0,0.16347
13.999,-103,188.11,26.386,0.93547,0,0.068604,0,0.32255
13.999,-103,174.35,26.358,0.98146,0,0.027575,0,0.50245
13.999,-103,154.83,26.309,1.0135,0,0,0,0.61123
13.999,-103,143.79,26.26,1.0448,0,0,0,0.64945
13.999,-103,133.16,26.164,1.0652,0,0,0,0.73798
13.999,-103,120.37,26.009,1.1057,0,0,0,0.99447
14,-103,500.81,26.989,0,0.46012,0.54527,2.1896,0.015112
14,-103,474.66,26.947,0,0.56389,0.43784,1.7591,0.030115
14,-103,415.76,26.843,0,0.75353,0.24794,1.0313,0.96319
14,-103,394.95,26.803,0,0.87349,0.12837,0.49725,0.0023223
14,-103,365.05,26.758,0.081664,0.81974,0.0986,0.39843,0.17155
14,-103,350.37,26.737,0.11496,0.81871,0.066326,0.23773,0.0017361
14,-103,310.34,26.65,0.3861,0.52868,0.085219,0.32144,0.043674
14,-103,200.59,26.391,0.9237,0.057497,0.018805,0.041358,0.013591
14,-103,183.33,26.341,0.98521,0.016755,0,0,0.017592
14,-103,164.39,26.29,1.0497,0,0,0,0.14953
13.999,-104,450.77,26.861,0,0.74425,0.2595,1.0512,0.011239
13.999,-104,350.3,26.667,0.26357,0.68076,0.055668,0.25599,0.31012
13.999,-104,318.82,26.604,0.41227,0.56769,0.020035,0.066702,0.034626
13.999,-104,291.12,26.565,0.47642,0.52436,0,0.0071548,0.023912
13.999,-104,257.55,26.512,0.58318,0.41921,0,0,0.002253
13.999,-104,235.19,26.472,0.69117,0.31033,0,0,0.0074195
13.999,-104,220.84,26.441,0.74811,0.25463,0,0,0.026528
13.999,-104,204.17,26.399,0.85132,0.15153,0,0,0.0062838
13.999,-104,190.09,26.371,0.89006,0.11408,0,0,0.053806
13.999,-104,174.31,26.315,0.97564,0.035628,0,0,0.091447
13.999,-104,160.11,26.271,0.99748,0.020025,0,0,0.071371
13.999,-104,145.85,26.211,1.0454,0,0,0,0.11975
13.999,-104,131.57,26.126,1.0683,0,0,0,0.22622
14,-105,498.17,26.941,0,0.52754,0.49151,2.0105,0.031473
14,-105,353.25,26.677,0.24515,0.71479,0.040056,0.13871,0.0062091
13.999,-105,325.59,26.624,0.33253,0.66313,0.0043381,0,0.0076495
13.999,-105,301.11,26.582,0.46038,0.52297,0.016653,0.064124,0.0090078
13.999,-105,279.99,26.548,0.52643,0.47009,0.0034796,0,0.025155
13.999,-105,260.23,26.514,0.67879,0.27074,0.05047,0.23896,0.024673
13.999,-105,240.14,26.466,0.75217,0.2268,0.021031,0.083494,0.018754
13.999,-105,221.15,26.431,0.86327,0.095485,0.041245,0.15667,0.022253
13.999,-105,199.13,26.389,0.95611,0.0062627,0.037627,0.10869,0.025662
13.999,-105,190.33,26.374,0.97721,0,0.023503,0.087728,0.018349
13.999,-105,179.86,26.362,0.98637,0,0.013888,0.029712,0.019923
13.999,-105,170.19,26.324,1.016,0,0,0.0050547,0.039735
13.999,-105,159.88,26.29,1.03,0,0,0,0.064495
13.999,-105,150.34,26.268,1.0496,0,0,0,0.14185
13.999,-105,139.96,26.156,1.0645,0,0,0,0.21779
13.999,-105,129.23,26.019,1.1126,0,0,0,0.58827
14,-106,500.73,26.907,0,0.64639,0.35919,1.44,0.011549
14,-106,349.98,26.548,0.80374,0,0.19675,0.77057,0.016706
14,-106,320.85,26.519,0.8397,0,0.16177,0.63024,0.02349
14,-106,302.03,26.475,0.89472,0,0.10842,0.40255,0.023051
14,-106,279.15,26.444,0.92835,0,0.07546,0.28556,0.017698
14,-106,261.96,26.417,0.96134,0,0.043325,0.18712,0.028086
