CTD,20170918CCHSIOSEE
# SHIP: R/V Ron Brown
# DATES: 20150410 to 20150513
# Region:  NE Pacific, Leg 1 of P16N
# Chief Scientist: Jessica Cross & Samantha Siedlecki
# CTDO: Who - G.Johnson:NOAA, Molly Baringer:NOAA; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 650 nm 0.25m pathlength, SN:1636
#        Data Notes: With W.Gardner's permission, for a few profiles,
#                    removed up to the first two and/or the last samples of the
#                    submitted CTDBEAMCP profile to match the pressures
#                    of the existing CTD file. 
# Fluorometer : Who - N.Nelson; Status - no data 
#        Notes: Data removed from file because instrument broken
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RO20150410
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# Parameters removed from Exchange file: XMISS,FLUOR
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# CTD,20160323CCHSIOSEE - Previous Time Stamp 
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     SECT_ID:  changed value from P16N to P16N/1,  for Leg 1
#     Originator file name = p16n_0441_ct1.csv
#     Originator Time Stamp and Comments
#        CTD,20160208PMELNOAAKEM
#        #CODE:  ctd_to_csv.m KEM 2/08/16
#        #SUMFILE_NAME:  p16n_kem.sum 2/08/16
#        #CTDFILE_NAME:  rh10441.ctd
#        #DEPTH_TYPE:  CORR
#        #EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20150410
SECT_ID = P16N/1
STNNBR = 44
CASTNO = 1
DATE = 20150423
TIME = 0334
LATITUDE = -1.07
LONGITUDE = -151
DEPTH =  4762
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,/METER,
       3.0,2,   28.7524,3,   35.3116,3,     199.5,3,        13, -999.0000,9
       4.0,2,   28.7596,3,   35.3122,3,     198.9,3,        49, -999.0000,9
       5.0,2,   28.7580,2,   35.3120,2,     198.8,2,        54, -999.0000,9
       6.0,2,   28.7583,2,   35.3122,2,     199.2,2,        31, -999.0000,9
       7.0,2,   28.7548,2,   35.3120,2,     199.3,2,        26, -999.0000,9
       8.0,2,   28.7543,2,   35.3120,2,     199.4,2,        47, -999.0000,9
       9.0,2,   28.7559,2,   35.3120,2,     199.6,2,        28, -999.0000,9
      10.0,2,   28.7295,2,   35.3108,2,     199.6,2,        33, -999.0000,9
      11.0,2,   28.7255,2,   35.3114,2,     199.7,2,        49, -999.0000,9
      12.0,2,   28.7215,2,   35.3121,2,     199.7,2,        43, -999.0000,9
      13.0,2,   28.6887,2,   35.3100,2,     200.0,2,        40, -999.0000,9
      14.0,2,   28.6535,2,   35.3088,2,     199.9,2,        45, -999.0000,9
      15.0,2,   28.6461,2,   35.3090,2,     200.3,2,        40, -999.0000,9
      16.0,2,   28.6349,2,   35.3090,2,     200.3,2,        28, -999.0000,9
      17.0,2,   28.6173,2,   35.3086,2,     200.5,2,        40, -999.0000,9
      18.0,2,   28.6023,2,   35.3086,2,     200.6,2,        59, -999.0000,9
      19.0,2,   28.5972,2,   35.3087,2,     200.7,2,        45, -999.0000,9
      20.0,2,   28.5942,2,   35.3090,2,     200.7,2,        69, -999.0000,9
      21.0,2,   28.5909,2,   35.3091,2,     200.9,2,        50, -999.0000,9
      22.0,2,   28.5863,2,   35.3097,2,     201.1,2,        27, -999.0000,9
      23.0,2,   28.5824,2,   35.3101,2,     200.5,2,        24, -999.0000,9
      24.0,2,   28.5787,2,   35.3106,2,     200.4,2,        34, -999.0000,9
      25.0,2,   28.5756,2,   35.3113,2,     200.5,2,        44, -999.0000,9
      26.0,2,   28.5722,2,   35.3119,2,     200.1,2,        64, -999.0000,9
      27.0,2,   28.5694,2,   35.3122,2,     200.4,2,        46, -999.0000,9
      28.0,2,   28.5634,2,   35.3134,2,     200.6,2,        25, -999.0000,9
      29.0,2,   28.5602,2,   35.3141,2,     200.6,2,        22, -999.0000,9
      30.0,2,   28.5562,2,   35.3155,2,     199.8,2,        30, -999.0000,9
