CTD,20170918CCHSIOSEE
# SHIP: R/V Ron Brown
# DATES: 20150410 to 20150513
# Region:  NE Pacific, Leg 1 of P16N
# Chief Scientist: Jessica Cross & Samantha Siedlecki
# CTDO: Who - G.Johnson:NOAA, Molly Baringer:NOAA; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 650 nm 0.25m pathlength, SN:1636
#        Data Notes: With W.Gardner's permission, for a few profiles,
#                    removed up to the first two and/or the last samples of the
#                    submitted CTDBEAMCP profile to match the pressures
#                    of the existing CTD file. 
# Fluorometer : Who - N.Nelson; Status - no data 
#        Notes: Data removed from file because instrument broken
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RO20150410
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# Parameters removed from Exchange file: XMISS,FLUOR
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# CTD,20160323CCHSIOSEE - Previous Time Stamp 
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     SECT_ID:  changed value from P16N to P16N/1,  for Leg 1
#     Originator file name = p16n_0471_ct1.csv
#     Originator Time Stamp and Comments
#        CTD,20160208PMELNOAAKEM
#        #CODE:  ctd_to_csv.m KEM 2/08/16
#        #SUMFILE_NAME:  p16n_kem.sum 2/08/16
#        #CTDFILE_NAME:  rh10471.ctd
#        #DEPTH_TYPE:  CORR
#        #EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20150410
SECT_ID = P16N/1
STNNBR = 47
CASTNO = 1
DATE = 20150423
TIME = 2058
LATITUDE = -0.57967
LONGITUDE = -150.9995
DEPTH =  4375
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,/METER,
       3.0,2,   28.4407,2,   35.2698,2,     196.9,2,         2, -999.0000,9
       4.0,2,   28.4457,2,   35.2696,2,     195.4,2,        60, -999.0000,9
       5.0,2,   28.4403,2,   35.2694,2,     195.7,2,        48, -999.0000,9
       6.0,2,   28.4385,2,   35.2692,2,     195.6,2,        51, -999.0000,9
       7.0,2,   28.4303,2,   35.2693,2,     195.6,2,        38, -999.0000,9
       8.0,2,   28.4298,2,   35.2693,2,     195.7,2,        41, -999.0000,9
       9.0,2,   28.4304,2,   35.2694,2,     195.8,2,        30, -999.0000,9
      10.0,2,   28.4316,2,   35.2694,2,     196.3,2,        33, -999.0000,9
      11.0,2,   28.4327,2,   35.2692,2,     196.1,2,        48, -999.0000,9
      12.0,2,   28.4306,2,   35.2694,2,     195.8,2,        50, -999.0000,9
      13.0,2,   28.4310,2,   35.2692,2,     195.7,2,        69, -999.0000,9
      14.0,2,   28.4296,2,   35.2693,2,     196.0,2,        47, -999.0000,9
      15.0,2,   28.4286,2,   35.2696,2,     196.3,2,        36, -999.0000,9
      16.0,2,   28.4295,2,   35.2694,2,     195.9,2,        56, -999.0000,9
      17.0,2,   28.4294,2,   35.2696,2,     195.5,2,        46, -999.0000,9
      18.0,2,   28.4296,2,   35.2696,2,     195.7,2,        43, -999.0000,9
      19.0,2,   28.4293,2,   35.2697,2,     196.3,2,        40, -999.0000,9
      20.0,2,   28.4295,2,   35.2696,2,     196.3,2,        41, -999.0000,9
      21.0,2,   28.4295,2,   35.2696,2,     195.8,2,        40, -999.0000,9
      22.0,2,   28.4288,2,   35.2699,2,     195.9,2,        31, -999.0000,9
      23.0,2,   28.4281,2,   35.2699,2,     196.2,2,        31, -999.0000,9
      24.0,2,   28.4265,2,   35.2701,2,     195.9,2,        49, -999.0000,9
      25.0,2,   28.4252,2,   35.2703,2,     196.0,2,        51, -999.0000,9
      26.0,2,   28.4220,2,   35.2707,2,     196.4,2,        39, -999.0000,9
      27.0,2,   28.4164,2,   35.2716,2,     195.8,2,        41, -999.0000,9
      28.0,2,   28.4174,2,   35.2716,2,     195.9,2,        28, -999.0000,9
      29.0,2,   28.4182,2,   35.2716,2,     196.1,2,        21, -999.0000,9
      30.0,2,   28.4169,2,   35.2717,2,     195.9,2,        25, -999.0000,9
      31.0,2,   28.4147,2,   35.2721,2,     195.4,2,        38, -999.0000,9
      32.0,2,   28.4116,2,   35.2727,2,     195.7,2,        40, -999.0000,9
      33.0,2,   28.4141,2,   35.2725,2,     195.3,2,        31, -999.0000,9
      34.0,2,   28.4082,2,   35.2733,2,     195.8,2,        44, -999.0000,9
      35.0,2,   28.4012,2,   35.2744,2,     195.5,2,        44, -999.0000,9
      36.0,2,   28.4012,2,   35.2745,2,     195.8,2,        37, -999.0000,9
      37.0,2,   28.4016,2,   35.2745,2,     195.3,2,        41, -999.0000,9
      38.0,2,   28.3979,2,   35.2751,2,     195.4,2,        28, -999.0000,9
      39.0,2,   28.3934,2,   35.2761,2,     196.1,2,        27, -999.0000,9
      40.0,2,   28.3944,2,   35.2759,2,     195.6,2,        24, -999.0000,9
      41.0,2,   28.3939,2,   35.2760,2,     195.6,2,        47, -999.0000,9
      42.0,2,   28.3909,2,   35.2765,2,     195.4,2,        69, -999.0000,9
      43.0,2,   28.3925,2,   35.2764,2,     195.3,2,        47, -999.0000,9
      44.0,2,   28.3905,2,   35.2768,2,     195.4,2,        33, -999.0000,9
      45.0,2,   28.3897,2,   35.2769,2,     195.7,2,        31, -999.0000,9
