CTD,20170918CCHSIOSEE
# SHIP: R/V Ron Brown
# DATES: 20150410 to 20150513
# Region:  NE Pacific, Leg 1 of P16N
# Chief Scientist: Jessica Cross & Samantha Siedlecki
# CTDO: Who - G.Johnson:NOAA, Molly Baringer:NOAA; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 650 nm 0.25m pathlength, SN:1636
#        Data Notes: With W.Gardner's permission, for a few profiles,
#                    removed up to the first two and/or the last samples of the
#                    submitted CTDBEAMCP profile to match the pressures
#                    of the existing CTD file. 
# Fluorometer : Who - N.Nelson; Status - no data 
#        Notes: Data removed from file because instrument broken
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RO20150410
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# Parameters removed from Exchange file: XMISS,FLUOR
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# CTD,20160323CCHSIOSEE - Previous Time Stamp 
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     SECT_ID:  changed value from P16N to P16N/1,  for Leg 1
#     Originator file name = p16n_0681_ct1.csv
#     Originator Time Stamp and Comments
#        CTD,20160208PMELNOAAKEM
#        #CODE:  ctd_to_csv.m KEM 2/08/16
#        #SUMFILE_NAME:  p16n_kem.sum 2/08/16
#        #CTDFILE_NAME:  rh10681.ctd
#        #DEPTH_TYPE:  CORR
#        #EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20150410
SECT_ID = P16N/1
STNNBR = 68
CASTNO = 1
DATE = 20150428
TIME = 1703
LATITUDE = 2.7102
LONGITUDE = -151
DEPTH =  4547
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,/METER,
       3.0,2,   28.7236,2,   35.0680,2,     198.2,2,        21,    0.0686,2
       4.0,2,   28.7252,2,   35.0678,2,     198.4,2,        46,    0.0698,2
       5.0,2,   28.7255,2,   35.0678,2,     199.1,2,        38,    0.0678,2
       6.0,2,   28.7205,2,   35.0686,2,     199.1,2,        50,    0.0674,2
       7.0,2,   28.7160,2,   35.0692,2,     198.9,2,        48,    0.0690,2
       8.0,2,   28.7092,2,   35.0695,2,     199.9,2,        31,    0.0690,2
       9.0,2,   28.7016,2,   35.0696,2,     199.3,2,        35,    0.0682,2
      10.0,2,   28.6983,2,   35.0700,2,     200.0,2,        38,    0.0686,2
      11.0,2,   28.6777,2,   35.0740,2,     200.6,2,        51,    0.0690,2
      12.0,2,   28.6514,2,   35.0790,2,     200.9,2,        38,    0.0694,2
      13.0,2,   28.6491,2,   35.0795,2,     200.7,2,        38,    0.0698,2
      14.0,2,   28.6510,2,   35.0814,2,     200.9,2,        44,    0.0714,2
      15.0,2,   28.6493,2,   35.0811,2,     201.3,2,        48,    0.0710,2
      16.0,2,   28.6482,2,   35.0815,2,     201.3,2,        69,    0.0698,2
      17.0,2,   28.6473,2,   35.0817,2,     200.8,2,        41,    0.0714,2
      18.0,2,   28.6438,2,   35.0813,2,     201.0,2,        39,    0.0718,2
      19.0,2,   28.6399,2,   35.0811,2,     201.6,2,        50,    0.0710,2
      20.0,2,   28.6386,2,   35.0812,2,     201.4,2,        66,    0.0771,2
      21.0,2,   28.6417,2,   35.0829,2,     200.8,2,        43,    0.0718,2
      22.0,2,   28.6454,2,   35.0846,2,     201.0,2,        31,    0.0727,2
      23.0,2,   28.6466,2,   35.0853,2,     200.8,2,        46,    0.0718,2
      24.0,2,   28.6435,2,   35.0855,2,     201.0,2,        48,    0.0722,2
      25.0,2,   28.6424,2,   35.0870,2,     200.7,2,        39,    0.0714,2
      26.0,2,   28.6416,2,   35.0880,2,     201.0,2,        35,    0.0731,2
      27.0,2,   28.6415,2,   35.0891,2,     201.0,2,        62,    0.0714,2
      28.0,2,   28.6430,2,   35.0906,2,     201.1,2,        65,    0.0706,2
      29.0,2,   28.6407,2,   35.0917,2,     200.9,2,        37,    0.0710,2
      30.0,2,   28.6372,2,   35.0916,2,     200.5,2,        29,    0.0714,2
