CTD,20170918CCHSIOSEE
# SHIP: R/V Ron Brown
# DATES: 20150410 to 20150513
# Region:  NE Pacific, Leg 1 of P16N
# Chief Scientist: Jessica Cross & Samantha Siedlecki
# CTDO: Who - G.Johnson:NOAA, Molly Baringer:NOAA; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 650 nm 0.25m pathlength, SN:1636
#        Data Notes: With W.Gardner's permission, for a few profiles,
#                    removed up to the first two and/or the last samples of the
#                    submitted CTDBEAMCP profile to match the pressures
#                    of the existing CTD file. 
# Fluorometer : Who - N.Nelson; Status - no data 
#        Notes: Data removed from file because instrument broken
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RO20150410
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# Parameters removed from Exchange file: XMISS,FLUOR
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# CTD,20160323CCHSIOSEE - Previous Time Stamp 
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     SECT_ID:  changed value from P16N to P16N/1,  for Leg 1
#     Originator file name = p16n_0733_ct1.csv
#     Originator Time Stamp and Comments
#        CTD,20160208PMELNOAAKEM
#        #CODE:  ctd_to_csv.m KEM 2/08/16
#        #SUMFILE_NAME:  p16n_kem.sum 2/08/16
#        #CTDFILE_NAME:  rh10733.ctd
#        #DEPTH_TYPE:  CORR
#        #EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20150410
SECT_ID = P16N/1
STNNBR = 73
CASTNO = 3
DATE = 20150430
TIME = 0128
LATITUDE = 4
LONGITUDE = -151
DEPTH =  5099
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,/METER,
       4.0,2,   29.0227,2,   34.9199,2,     198.5,2,         1,    0.0894,2
       5.0,2,   29.0228,2,   34.9189,2,     199.8,2,        51,    0.0906,2
       6.0,2,   29.0225,2,   34.9190,2,     199.5,2,        44,    0.0906,2
       7.0,2,   29.0207,2,   34.9189,2,     199.9,2,        36,    0.0898,2
       8.0,2,   29.0209,2,   34.9189,2,     200.1,2,        41,    0.0902,2
       9.0,2,   29.0220,2,   34.9190,2,     199.7,2,        42,    0.0902,2
      10.0,2,   29.0222,2,   34.9189,2,     199.8,2,        39,    0.0906,2
      11.0,2,   29.0213,2,   34.9189,2,     199.9,2,        43,    0.0902,2
      12.0,2,   29.0208,2,   34.9187,2,     200.3,2,        34,    0.0902,2
      13.0,2,   29.0219,2,   34.9187,2,     199.8,2,        46,    0.0902,2
      14.0,2,   29.0215,2,   34.9186,2,     200.1,2,        35,    0.0902,2
      15.0,2,   29.0233,2,   34.9187,2,     199.9,2,        41,    0.0935,2
      16.0,2,   29.0239,2,   34.9185,2,     199.9,2,        33,    0.0951,2
      17.0,2,   29.0239,2,   34.9185,2,     200.5,2,        25,    0.0914,2
      18.0,2,   29.0249,2,   34.9187,2,     200.2,2,        30,    0.0902,2
      19.0,2,   29.0252,2,   34.9183,2,     199.7,2,        40,    0.0918,2
      20.0,2,   29.0248,2,   34.9186,2,     200.0,2,        40,    0.0902,2
      21.0,2,   29.0247,2,   34.9187,2,     200.3,2,        38,    0.0910,2
      22.0,2,   29.0249,2,   34.9184,2,     200.0,2,        51,    0.0894,2
      23.0,2,   29.0252,2,   34.9186,2,     199.5,2,        44,    0.0918,2
      24.0,2,   29.0257,2,   34.9187,2,     199.9,2,        58,    0.0898,2
      25.0,2,   29.0265,2,   34.9185,2,     200.5,2,        35,    0.0886,2
      26.0,2,   29.0257,2,   34.9190,2,     199.7,2,        43,    0.0898,2
      27.0,2,   29.0250,2,   34.9195,2,     200.0,2,        52,    0.0918,2
      28.0,2,   29.0245,2,   34.9198,2,     200.4,2,        47,    0.0898,2
      29.0,2,   29.0250,2,   34.9203,2,     199.7,2,        40,    0.0886,2
      30.0,2,   29.0252,2,   34.9200,2,     199.6,2,        48,    0.0873,2
      31.0,2,   29.0245,2,   34.9197,2,     200.3,2,        31,    0.0873,2
      32.0,2,   29.0253,2,   34.9201,2,     200.1,2,        35,    0.0886,2
      33.0,2,   29.0256,2,   34.9202,2,     199.9,2,        52,    0.0873,2
