CTD,20170918CCHSIOSEE
# SHIP: R/V Ron Brown
# DATES: 20150410 to 20150513
# Region:  NE Pacific, Leg 1 of P16N
# Chief Scientist: Jessica Cross & Samantha Siedlecki
# CTDO: Who - G.Johnson:NOAA, Molly Baringer:NOAA; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 650 nm 0.25m pathlength, SN:1636
#        Data Notes: With W.Gardner's permission, for a few profiles,
#                    removed up to the first two and/or the last samples of the
#                    submitted CTDBEAMCP profile to match the pressures
#                    of the existing CTD file. 
# Fluorometer : Who - N.Nelson; Status - no data 
#        Notes: Data removed from file because instrument broken
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RO20150410
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# Parameters removed from Exchange file: XMISS,FLUOR
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# CTD,20160323CCHSIOSEE - Previous Time Stamp 
#     LATITUDE_UNITS = degrees_North
#     LONGITUDE_UNITS = degrees_East
#     DATE_UNITS: YYYYMMDD
#     TIME_UNITS = HHMM
#     SECT_ID:  changed value from P16N to P16N/1,  for Leg 1
#     Originator file name = p16n_1051_ct1.csv
#     Originator Time Stamp and Comments
#        CTD,20160208PMELNOAAKEM
#        #CODE:  ctd_to_csv.m KEM 2/08/16
#        #SUMFILE_NAME:  p16n_kem.sum 2/08/16
#        #CTDFILE_NAME:  rh11051.ctd
#        #DEPTH_TYPE:  CORR
#        #EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20150410
SECT_ID = P16N/1
STNNBR = 105
CASTNO = 1
DATE = 20150509
TIME = 1458
LATITUDE = 19
LONGITUDE = -152.0002
DEPTH =  5165
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,/METER,
       3.0,2,   24.9742,3,   34.5429,3,     205.1,3,        55,    0.0398,2
       4.0,2,   24.9713,3,   34.5430,3,     205.7,3,        32,    0.0406,2
       5.0,2,   24.9647,2,   34.5433,2,     206.0,2,        36,    0.0406,2
       6.0,2,   24.9781,2,   34.5433,2,     205.3,2,        43,    0.0406,2
       7.0,2,   24.9791,2,   34.5436,2,     205.5,2,        44,    0.0398,2
       8.0,2,   24.9788,2,   34.5433,2,     205.5,2,        30,    0.0402,2
       9.0,2,   24.9789,2,   34.5433,2,     205.7,2,        44,    0.0398,2
      10.0,2,   24.9788,2,   34.5431,2,     205.3,2,        26,    0.0398,2
      11.0,2,   24.9791,2,   34.5435,2,     205.2,2,        28,    0.0446,2
      12.0,2,   24.9795,2,   34.5439,2,     205.2,2,        42,    0.0434,2
      13.0,2,   24.9798,2,   34.5443,2,     205.2,2,        38,    0.0406,2
      14.0,2,   24.9797,2,   34.5442,2,     205.1,2,        27,    0.0402,2
      15.0,2,   24.9795,2,   34.5438,2,     205.3,2,        38,    0.0406,2
      16.0,2,   24.9795,2,   34.5441,2,     205.5,2,        62,    0.0406,2
      17.0,2,   24.9796,2,   34.5441,2,     205.6,2,        47,    0.0402,2
      18.0,2,   24.9792,2,   34.5440,2,     205.7,2,        27,    0.0398,2
      19.0,2,   24.9782,2,   34.5435,2,     205.9,2,        37,    0.0406,2
      20.0,2,   24.9773,2,   34.5433,2,     205.7,2,        32,    0.0410,2
      21.0,2,   24.9769,2,   34.5433,2,     205.6,2,        26,    0.0426,2
      22.0,2,   24.9771,2,   34.5435,2,     205.5,2,        40,    0.0406,2
      23.0,2,   24.9773,2,   34.5436,2,     205.5,2,        36,    0.0406,2
      24.0,2,   24.9768,2,   34.5438,2,     205.4,2,        26,    0.0402,2
      25.0,2,   24.9770,2,   34.5441,2,     205.6,2,        32,    0.0410,2
      26.0,2,   24.9771,2,   34.5443,2,     205.4,2,        51,    0.0410,2
      27.0,2,   24.9771,2,   34.5448,2,     205.2,2,        30,    0.0406,2
      28.0,2,   24.9773,2,   34.5456,2,     204.7,2,        32,    0.0418,2
      29.0,2,   24.9780,2,   34.5467,2,     204.9,2,        42,    0.0446,2
      30.0,2,   24.9728,2,   34.5698,2,     205.1,2,        18,    0.0418,2
      31.0,2,   24.9684,2,   34.5779,2,     204.8,2,        17,    0.0410,2
      32.0,2,   24.9536,2,   34.5984,2,     204.8,2,        22,    0.0402,2
      33.0,2,   24.9478,2,   34.6016,2,     205.5,2,        26,    0.0410,2
      34.0,2,   24.8986,2,   34.6540,2,     205.8,2,        19,    0.0442,2
      35.0,2,   24.8568,2,   34.7109,2,     205.3,2,        24,    0.0446,2
      36.0,2,   24.8331,2,   34.7365,2,     206.0,2,        41,    0.0426,2
      37.0,2,   24.8111,2,   34.7588,2,     206.4,2,        34,    0.0418,2
      38.0,2,   24.7993,2,   34.7682,2,     206.4,2,        45,    0.0422,2
      39.0,2,   24.7879,2,   34.7774,2,     206.7,2,        52,    0.0418,2
      40.0,2,   24.7783,2,   34.7853,2,     207.0,2,        30,    0.0426,2
      41.0,2,   24.7750,2,   34.7879,2,     207.1,2,        50,    0.0418,2
      42.0,2,   24.7739,2,   34.7890,2,     206.7,2,        61,    0.0422,2
      43.0,2,   24.7701,2,   34.7919,2,     207.1,2,        44,    0.0414,2
      44.0,2,   24.7659,2,   34.7952,2,     207.1,2,        39,    0.0402,2
      45.0,2,   24.7591,2,   34.7996,2,     206.6,2,        49,    0.0410,2
      46.0,2,   24.7568,2,   34.8021,2,     206.9,2,        37,    0.0414,2
      47.0,2,   24.7556,2,   34.8041,2,     207.5,2,        27,    0.0426,2
      48.0,2,   24.7545,2,   34.8072,2,     206.8,2,        37,    0.0451,2
      49.0,2,   24.7530,2,   34.8119,2,     207.1,2,        52,    0.0422,2
      50.0,2,   24.7503,2,   34.8213,2,     206.6,2,        48,    0.0426,2
      51.0,2,   24.7482,2,   34.8261,2,     207.2,2,        29,    0.0426,2
      52.0,2,   24.7445,2,   34.8320,2,     206.8,2,        30,    0.0426,2
      53.0,2,   24.7375,2,   34.8426,2,     206.8,2,        37,    0.0426,2
      54.0,2,   24.7298,2,   34.8563,2,     207.0,2,        44,    0.0426,2
      55.0,2,   24.6773,2,   34.9141,2,     207.0,2,        26,    0.0434,2
