Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
p16n_100	HDR20150508004443	2015-05-08 00:44:43	2.5	31.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.347517730496454	0.0	3.255963894261767	1.9664732430689877	0.7092198581560284	0.3546099290780142	0.2578981302385558	0.1289490651192779	0.032237266279819474	0.032237266279819474	0.032237266279819474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00753262610976307	0.0	0.00760491849169263	0.0123894284586835	0.0102969697113238	0.00884982501294899	0.0132326007456158	0.0175038108464219	0.00491782635378039	0.0135796084649503	0.0180969942227213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-499.5												34.27295	3.5			25.8071			4.6508				202.1													
p16n_100	HDR20150508004443	2015-05-08 00:44:43	7.5	126.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.182821118991331	0.0	3.38849487785658	2.403467297084318	0.7880220646178092	0.4018912529550827	0.4018912529550827	0.14972419227738376	0.07092198581560283	0.04728132387706856	0.007880220646178092	0.015760441292356184	0.0	0.0	0.007880220646178092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0080871110872873	0.0	0.0079144696294183	0.0153533726684349	0.011499937703548	0.0101992268219587	0.0184833509735181	0.0147109788789294	0.014339164872265	0.0175186400556187	0.0080444578823978	0.0288653229050537	0.0	0.0	0.0956659185090727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-399.6												34.27298	7.0			25.80814			4.65094				202.72													
p16n_100	HDR20150508004443	2015-05-08 00:44:43	12.5	87.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.290322580645162	0.0	3.534660260809883	2.299245024021963	0.8579272477693891	0.34317089910775567	0.3774879890185312	0.13726835964310227	0.12582932967284374	0.022878059940517045	0.0	0.0	0.011439029970258523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00749465924429047	0.0	0.00825586648139996	0.0141926276247005	0.0125615581099274	0.00914036349994131	0.0173044017126654	0.0137898920022465	0.0235809349185868	0.00973026091994474	0.0	0.0	0.0323917744074097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-599.4												34.2724	12.0			25.7964			4.65032				202.88													
p16n_100	HDR20150508004443	2015-05-08 00:44:43	17.5	92.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.168910117238385	0.0	3.2349109856708638	2.2796352583586623	0.8792878853669127	0.37993920972644374	0.4125054277029961	0.303951367781155	0.021710811984368215	0.03256621797655232	0.010855405992184108	0.021710811984368215	0.0	0.0	0.010855405992184108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0080778767879889	0.0	0.00755574544830323	0.0142714353195542	0.0128281456610952	0.00970306336870639	0.0201279966802461	0.029068966545592	0.00552112023133186	0.013822678896537	0.0121628718630179	0.0317643997255049	0.0	0.0	0.186473380454286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-399.6												34.27184	17.0			25.7831			4.64914				202.66													
p16n_100	HDR20150508004443	2015-05-08 00:44:43	22.5	90.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.96808510638298	0.0	3.4020390070921986	2.171985815602837	0.7424645390070922	0.5429964539007093	0.3546099290780142	0.18838652482269505	0.0997340425531915	0.044326241134751775	0.03324468085106383	0.011081560283687944	0.0	0.011081560283687944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00794456660014074	0.0	0.00794610450075681	0.0138123602893917	0.0105946199063368	0.0138397074138052	0.0170779827937659	0.0209487796724125	0.021267285492701	0.017634500640769	0.0288123823304608	0.0160013842514443	0.0	0.0822074632400309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-599.4												34.2715	22.0			25.7632			4.64968				203.0													
p16n_100	HDR20150508004443	2015-05-08 00:44:43	27.5	81.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.922230374174614	0.0	3.7417461482024943	2.5556370750794817	0.7703595011005135	0.5258009293225727	0.4157495720224994	0.2690144289557349	0.07336757153338225	0.048911714355588165	0.07336757153338225	0.012227928588897041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00791412764764978	0.0	0.00873955467498716	0.0159345004383808	0.0107924368571823	0.0130737251831801	0.0204902616176119	0.0267776188362606	0.0133800544138837	0.0231032320588385	0.068219769554772	0.0154033465997024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-399.6												34.27122	27.0			25.7507			4.64704				203.06													
p16n_100	HDR20150508004443	2015-05-08 00:44:43	32.5	97.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.170212765957446	0.0	3.651800327332242	2.42430441898527	0.9819967266775776	0.42962356792144024	0.45008183306055644	0.18412438625204583	0.1227495908346972	0.0818330605564648	0.0306873977086743	0.0102291325695581	0.0204582651391162	0.0102291325695581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00741492882679802	0.0	0.0085294692260692	0.0152733549453885	0.0142753203543226	0.0110865189734167	0.0218210318935585	0.0201735094566719	0.0287931220192956	0.0321610845484148	0.0227300293762151	0.0167702647840508	0.0564938905953474	0.0604630406176317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-599.4												34.27122	32.0			25.74136			4.6482				202.52													
p16n_100	HDR20150508004443	2015-05-08 00:44:43	37.5	82.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.246131528046423	0.0	3.4574468085106385	1.9946808510638299	0.7374274661508704	0.32640232108317213	0.4231141199226306	0.19342359767891684	0.10880077369439071	0.0725338491295938	0.0725338491295938	0.012088974854932303	0.0	0.012088974854932303	0.012088974854932303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00812913733933593	0.0	0.00807551988350529	0.0123922504987306	0.01072244303864	0.00808430318301674	0.0221215034263795	0.0194569928897282	0.0225432175997431	0.0285882513778936	0.0537671846592709	0.0139575330881154	0.0	0.102514133078449	0.197995216984937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-399.6												34.27158	37.0			25.73804			4.64726				202.16													
p16n_100	HDR20150508004443	2015-05-08 00:44:43	42.5	91.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.78986619872779	0.0	3.5643781531037506	2.807633252906339	0.822548804562404	0.29611756964246544	0.41675806097828466	0.15354244351831542	0.15354244351831542	0.0877385391533231	0.03290195218249616	0.021934634788330774	0.010967317394165387	0.021934634788330774	0.010967317394165387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0078262626301501	0.0	0.00832527823041783	0.0177581299354741	0.0118315303259295	0.00767549959660482	0.0186858817473599	0.0168868802189846	0.0307083878682319	0.0357280110717738	0.0261828435211215	0.0344556552472862	0.0256505161182268	0.113679272687104	0.127774588008201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-599.4												34.2725	42.0			25.73558			4.64676				202.58													
p16n_100	HDR20150508004443	2015-05-08 00:44:43	47.5	83.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.228065981353096	0.0	3.7771934018646904	2.593832177862778	0.7410949079607937	0.40640688501075783	0.5020320344250538	0.11953143676786995	0.16734401147501793	0.03585943103036099	0.011953143676786996	0.03585943103036099	0.02390628735357399	0.0	0.011953143676786996	0.011953143676786996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00811714520044342	0.0	0.00882234842934373	0.016562088967394	0.0107492510555467	0.0101898369331972	0.022957313178006	0.0132710479724687	0.033610341792258	0.0126045247363265	0.0125935882355701	0.0540169342066434	0.0688623569544206	0.0	0.142757737948206	0.27005672230033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-399.6												34.2746	47.0			25.7331			4.64536				202.5													
