"","cast","depth","temperature","salinity","fluorescence","oxygen","sigmaT","beamAttenuation"
"1",8,2.981,27.3483,34.696,0.2254,197.589,22.3772,0.0978
"2",8,3.976,27.3469,34.6962,0.20143,197.722,22.3779,0.0976
"3",8,4.97,27.3471,34.6964,0.19982,197.884,22.3779,0.0969
"4",8,5.964,27.3474,34.6964,0.20619,197.741,22.3778,0.0968
"5",8,6.958,27.3476,34.6964,0.19324,197.854,22.3778,0.0984
"6",8,7.952,27.3485,34.6963,0.20664,197.453,22.3774,0.0968
"7",8,8.946,27.3488,34.6965,0.22577,197.638,22.3775,0.0968
"8",8,9.94,27.349,34.6966,0.18932,197.246,22.3775,0.0968
"9",8,10.934,27.3491,34.6966,0.21419,197.369,22.3774,0.0963
"10",8,11.928,27.3477,34.6967,0.18959,197.495,22.378,0.097
"11",8,12.922,27.3475,34.6969,0.18473,196.948,22.3781,0.0978
"12",8,13.916,27.3484,34.6967,0.22125,197.582,22.3778,0.0971
"13",8,14.91,27.3483,34.6969,0.19407,196.998,22.3779,0.0968
"14",8,15.903,27.3485,34.697,0.19307,197.563,22.3779,0.097
"15",8,16.897,27.3489,34.697,0.18243,196.936,22.3778,0.0981
"16",8,17.891,27.3483,34.697,0.18528,196.934,22.378,0.0979
"17",8,18.885,27.3483,34.6971,0.18966,197.574,22.378,0.1
"18",8,19.879,27.3488,34.697,0.18184,196.768,22.3778,0.097
"19",8,20.873,27.3486,34.6971,0.20732,197.596,22.3779,0.0981
"20",8,21.867,27.3497,34.697,0.21997,197.393,22.3775,0.0974
"21",8,22.861,27.3504,34.6971,0.18667,197.565,22.3774,0.0976
"22",8,23.855,27.3504,34.697,0.18698,197.379,22.3773,0.0965
"23",8,24.848,27.3501,34.6971,0.18267,197.832,22.3775,0.0966
"24",8,25.843,27.3504,34.6971,0.18751,196.948,22.3774,0.0968
"25",8,26.836,27.3508,34.6971,0.1875,197.309,22.3773,0.0966
"26",8,27.83,27.3509,34.6971,0.19599,197.66,22.3772,0.0973
"27",8,28.824,27.3516,34.697,0.18773,197.745,22.3769,0.0976
"28",8,29.818,27.3503,34.697,0.17898,197.314,22.3774,0.0966
"29",8,30.812,27.3487,34.697,0.18017,197.816,22.3778,0.0984
"30",8,31.806,27.3496,34.6971,0.18702,197.368,22.3776,0.0971
"31",8,32.8,27.3488,34.697,0.20424,197.673,22.3778,0.097
"32",8,33.793,27.3472,34.697,0.18681,197.05,22.3783,0.0973
"33",8,34.787,27.3454,34.6968,0.18158,197.308,22.3788,0.0971
"34",8,35.781,27.3486,34.6968,0.18834,197.366,22.3777,0.0969
"35",8,36.775,27.3487,34.6966,0.19027,197.122,22.3776,0.0966
"36",8,37.769,27.3483,34.6967,0.19427,197.638,22.3777,0.0983
"37",8,38.762,27.3497,34.6968,0.19103,197.688,22.3774,0.097
"38",8,39.756,27.3492,34.6967,0.19245,197.145,22.3775,0.0976
"39",8,40.75,27.3485,34.6967,0.19295,197.594,22.3777,0.0967
"40",8,41.744,27.3497,34.6968,0.18505,197.87,22.3774,0.0973
"41",8,42.738,27.3435,34.6965,0.19439,197.986,22.3791,0.098
"42",8,43.732,27.3333,34.6962,0.20118,197.541,22.3822,0.0983
"43",8,44.725,27.333,34.696,0.18897,197.472,22.3822,0.0971
"44",8,45.719,27.3275,34.6957,0.22045,197.322,22.3837,0.0979
"45",8,46.713,27.2242,34.6933,0.24519,197.355,22.415,0.1017
"46",8,47.707,27.1558,34.6837,0.24125,197.101,22.4297,0.1036
"47",8,48.701,26.9704,34.6736,0.30365,196.685,22.4813,0.146
"48",8,49.694,26.879,34.6707,0.38129,196.005,22.5083,0.1114
"49",8,50.688,26.7245,34.6536,0.41495,195.87,22.5444,0.1175
"50",8,51.682,25.0618,34.5201,0.57288,199,22.9572,0.1235
"51",8,52.675,23.8488,34.4503,0.6919,204.108,23.27,0.1291
"52",8,53.669,23.035,34.453,1.0524,204.76,23.5087,0.1378
"53",8,54.663,22.9951,34.448,1.1247,196.408,23.5164,0.1415
"54",8,55.657,22.9773,34.4414,1.3139,193.069,23.5165,0.1442
"55",8,56.651,22.5471,34.4354,1.1718,192.798,23.6348,0.1428
"56",8,57.644,22.1974,34.435,1.1394,183.722,23.7332,0.1431
"57",8,58.638,21.8821,34.436,1.0651,178.933,23.8222,0.139
"58",8,59.632,21.7266,34.4384,1.1067,172.648,23.8672,0.1369
"59",8,60.625,21.6572,34.437,1.3067,162.937,23.8853,0.131
"60",8,61.619,21.5576,34.4318,1.0975,159.095,23.9089,0.1288
"61",8,62.613,21.5021,34.4338,0.91953,158.695,23.9257,0.1283
"62",8,63.607,21.3966,34.4308,0.90722,155.263,23.9524,0.1259
"63",8,64.6,20.9456,34.4406,0.87185,152.088,24.0828,0.1229
"64",8,65.594,20.6354,34.4388,0.92523,135.175,24.165,0.1161
"65",8,66.587,20.4099,34.4383,0.71005,130.949,24.2249,0.111
"66",8,67.581,20.0614,34.4471,0.69886,128.181,24.3238,0.1076
"67",8,68.575,19.7526,34.4707,0.67768,113.547,24.4228,0.1
"68",8,69.568,19.2546,34.4932,0.52053,97.214,24.5687,0.0949
"69",8,70.562,19.0377,34.4983,0.58119,80.931,24.6281,0.0883
"70",8,71.556,18.9774,34.4936,0.5111,75.515,24.6399,0.0863
"71",8,72.549,18.9494,34.4904,0.4503,76.383,24.6446,0.0864
"72",8,73.543,18.8925,34.4909,0.46786,75.935,24.6593,0.0873
"73",8,74.537,18.8185,34.493,0.46948,74.308,24.6797,0.0841
"74",8,75.531,18.789,34.4916,0.46951,71.717,24.6861,0.0839
"75",8,76.524,18.7691,34.4894,0.5469,71.35,24.6894,0.0828
"76",8,77.518,18.4155,34.491,0.37214,71.908,24.7793,0.0812
"77",8,78.511,18.0729,34.5015,0.34412,69.679,24.8723,0.0796
"78",8,79.505,17.9371,34.503,0.35082,63.328,24.9069,0.0762
"79",8,80.499,17.9091,34.5144,0.45996,58.144,24.9224,0.0748
"80",8,81.492,17.8005,34.5028,0.34291,58.846,24.9401,0.0739
"81",8,82.486,17.7028,34.5125,0.33,57.11,24.9713,0.0756
"82",8,83.479,17.4828,34.5375,0.31184,52.051,25.0438,0.0713
"83",8,84.473,17.222,34.5434,0.2809,46.405,25.1109,0.0715
"84",8,85.467,17.034,34.5579,0.27015,39.705,25.1668,0.0692
"85",8,86.46,16.9376,34.5575,0.28022,33.435,25.1894,0.0686
"86",8,87.454,16.7238,34.5726,0.27281,33.22,25.2513,0.0676
"87",8,88.447,16.5494,34.5621,0.24785,33.498,25.2841,0.0672
"88",8,89.441,16.5026,34.5602,0.23568,32.175,25.2935,0.0666
"89",8,90.435,16.4708,34.5691,0.25909,31.094,25.3078,0.0659
"90",8,91.428,16.4733,34.5659,0.23111,29.727,25.3047,0.0665
"91",8,92.422,16.3644,34.5777,0.21525,29.339,25.339,0.0648
"92",8,93.415,16.3507,34.5791,0.21635,25.807,25.3433,0.0639
"93",8,94.409,16.3515,34.5798,0.25538,25.136,25.3436,0.0638
"94",8,95.402,16.3505,34.5781,0.2394,25.168,25.3425,0.0646
"95",8,96.396,16.3352,34.5791,0.22052,25.114,25.3469,0.0638
"96",8,97.389,16.3316,34.5809,0.22587,24.618,25.349,0.0635
"97",8,98.383,16.3208,34.5814,0.21833,24.224,25.3519,0.0633
"98",8,99.376,16.2876,34.5876,0.21119,23.89,25.3643,0.0638
"99",8,100.37,16.2652,34.5922,0.21731,22.699,25.3731,0.0629
