profile	Cruise	Site	DataOwner	Rawfilename	Instrument	CTDrosettefilename	yyyy-mm-dd hh:mm	Latitude 	Longitude	aa	exp	Pixel size	Particle filename	Plankton filename
stn_002		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170101071114	uvp5	xx	2017-01-01 07:11:14	20.15	-106.0015	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_002.tsv	export_detailed_20190304_23_14_ZOO_stn_002.tsv
stn_003		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170101154640	uvp5	xx	2017-01-01 15:46:40	20.1523333333333	-106.327333333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_003.tsv	export_detailed_20190304_23_14_ZOO_stn_003.tsv
stn_004		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170102074319	uvp5	xx	2017-01-02 07:43:19	20.1783666666667	-106.455666666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_004.tsv	export_detailed_20190304_23_14_ZOO_stn_004.tsv
stn_005		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170102134306	uvp5	xx	2017-01-02 13:43:06	20.2028333333333	-106.0812	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_005.tsv	export_detailed_20190304_23_14_ZOO_stn_005.tsv
stn_006		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170103075609	uvp5	xx	2017-01-03 07:56:09	20.2051333333333	-106.811333333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_006.tsv	export_detailed_20190304_23_14_ZOO_stn_006.tsv
stn_007		015	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20170103074302	uvp5	xx	2017-01-03 07:43:02	20.19705	-107.262833333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_007.tsv	export_detailed_20190304_23_14_ZOO_stn_007.tsv
stn_008		008	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20161227032641	uvp5	xx	2016-12-27 03:26:41	16.9001033333333	-107.243775	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_008.tsv	export_detailed_20190304_23_14_ZOO_stn_008.tsv
stn_009		009	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20161227095806	uvp5	xx	2016-12-27 09:58:06	16.0071333333333	-107.576056666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_009.tsv	export_detailed_20190304_23_14_ZOO_stn_009.tsv
stn_010		010	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20161227192910	uvp5	xx	2016-12-27 19:29:10	15.0031116666667	-106.947198333333	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_010.tsv	export_detailed_20190304_23_14_ZOO_stn_010.tsv
stn_011		011	andrew mcdonnell(amcdonnell@alaska.edu)	HDR20161228040901	uvp5	xx	2016-12-28 04:09:01	14.00043	-106.335201666667	0.0032	1.36		export_detailed_20190304_23_14_PAR_stn_011.tsv	export_detailed_20190304_23_14_ZOO_stn_011.tsv
